#H202410;202410.jpg;Antxoaren Gorabeherak Ulertu Nahian;Naroa Aldarondo Aristizabal;naldarondo.jpg;
#H202409;202409.jpg;Rojo Ereño, Roca Patrimonial Internacional;Laura Damas Molla;ldamas.jpg;5xf13p1pj9k
#H202406;202406.jpg;Hezkuntza Ikerketaren Ekarpen eta Erronkak;Josu Solabarrieta Eizagirre;jsolabarrieta.jpg;05T8DAun9Ig
#H202405;202405.jpg;Gure Atea jotzen ari den Mundua ...eta horretarako ez gara ia prestatzen ari;Juanjo Gabiña Carrera;jgabina.jpg;oLZ1zsasxYA
#H202404;202404.jpg;Bakterioak, Etsaiak ala Lagunak?;Miren Basaras Ibarzabal;mbasaras.jpg;saVkU9decBU
#H202403;202403.jpg;Antibiotikoak: Lehen, Orain eta... Etorkizunean?;Lide Arana Urbieta;larana.jpg;DpXOwE9YVig
#H202402;202402.jpg;Mundua Suntsitzean, Adimen Artifizialak Euskaraz egingo ote du?;Eneko Agirre Bengoa;eagirre.jpg;kOGCeKgHzMI
#H202401;202401.jpg;Winter is Coming? La Evolución del Mar Cantábrico en los últimos 130.000 años;Blanca María Martínez García;bmmartinez.jpg;1JehlDqJq-4
#H202312;202312.jpg;Cerebro,Ritmo y Adquisición de la Lectura;Marie Lallier;mlallier.jpg;4zeG3e8l5bg
#H202311;202311.jpg;La Observación de las Ondas Gravitacionales; Una nueva Ventana al Universo;José Juan Blanco Pillado;jjblanco.jpg;gcuP_O-H3zk
#H202310;202310.jpg;Matematika Hezkuntza eta Generoa Gurutzatzen diren Lekuak: Kartografia Bat;Uzuri Albizu Mallea;ualbizu.jpg;0ks_DiXLTI4
#H202309;202309.jpg;Conocimientos Útiles de Neurología;José Félix Martí Massó;jfmarti.jpg;Ad0eeWzK3KI
#H202306;202306.jpg;Bihotzeko Erritmoarekin Dantzan;Larraitz Gaztañaga Arantzamendi;lgaztanaga.jpg;QsloUpYp5ZE
#H202304;202304.jpg;Euskararen Protohistoria Aztergai;Eneko Zuloaga San Román;ezuloaga.jpg;6RdNG2-5-2w
#H202303;202303.jpg;Antartikatik Gure Itsas Ondoraino;Maria Intxaustegi Molina;mintxaustegi.jpg;GVP6JaHz7Og
#H202302;202302.jpg;Itsasoak Dakartzanak Itsaso-Aldamenean Ikertuz;Ibon Cancio Uriarte;icancio.jpg;x3V2YDutHv4
#H202301;202301.jpg;Trantsizio Energetikoa Euskadin;Iñigo Ansola Kareaga;iansola.jpg;
#H202211;202211.jpg;Saguzarrak: Jokabidea, Ekologia eta Eboluzioa;Joxerra Aihartza Azurtza;jaihartza.jpg;t-cP_LjW3GU
#H202210;202210.jpg;Física de Neutrinos: Haciendo Visible lo Invisible;Francesc Monrabal Capilla;fmonrabal.jpg;YdjZi545xgw
#H202209;202209.jpg;Incertidumbres y Certezas sobre Microplásticos y sus Riesgos;Juan Jose Iruin Sanz;jiruin.jpg;km5bjgVm82U
#H202206;202206.jpg;Erlojuaren Orratzak Larrialdietan;Leire Egiguren Urrosolo;legiguren.jpg;SVrrWGyFw1g
#H202205;202205.jpg;Neurociencia: Vida Después de la Muerte (de las Neuronas); Amanda Sierra, Mar Marquéz, Marta Pereira;asierrammarquezmpereira.jpg;XX_wymtChPM
#H202204_2;202204_2.jpg;Supereroankortasuna, Markak Hausten!; Ion Errea Lope;ierrea.jpg;hJhHJUNB_-U
#H202204;202204.jpg;Arte y Ciencia trás el Sudoku; María Merino Maestre;mmerino.jpg;ZxyAUesblPE
#H202203;202203.jpg;El Hielo y las Regiones Polares Ante el Cambio Climático; Jerónimo López Martínez;jlopez.jpg;DpYdc_FiBi8
#H202202;202202.jpg;Oinarrizko Errenta: Etorkizuneko Tresna; Julen Bollain Urbieta;jbollain.jpg;ZdlG_sahGvI
#H202201;202201.jpg;La Palmako Erupzioa: Geologiarekiko Jakinmina Pizten Denean; Arturo Apraiz, Fernando Sarrionandia-Ibarra, Ainhoa Alonso;apsaal.jpg;txKBejfZX9A
#H202112;202112.jpg;Plastic Wars: Itsas Hondakinen Isilpeko Mehatxua; Oihane Cabezas Basurko;ocabezas.jpg;oV1la0tf0D4
#H202111;202111.jpg;Osasuna Gure Esku: Zer Jan XXI. Mendean?;Silvia Zuluaga Goikoetxea;szuluaga.jpg;2F-faXlpXIQ
#H202110;202110.jpg;Paleolitoko Espeleologia: Lurpeko Munduaren Lehenengo Esplorazioak;Iñaki Intxaurbe Alberdi;iintxaurbe.jpg;o0biJFug9ig
#H202109;202109.jpg;Minbizia Osatzen? Covida Osatzen?;Iker Badiola Etxaburu;ibadiola.jpg;NsqUuQpYShs
#H202010;202010.jpg;Argia Ttiki Egiten Denean;Javier Aizpurua Iriazabal;jaizpurua.jpg;nLlXfu2cYV4
#H202009;202009.jpg;Santa Maria Munduari Bira Eman Zion Lehen Ontzia... Zelan Ondarrutarra?;Xabier Alberdi eta Fernando Agirre;xalberdifagirre.jpg;tal6-hMSV28
#H202005;202005.jpg;Elhuyar Anaiak, Wolframa eta Espioitza;Rosa Errazkin Arrazau;rerrazkin.jpg;EsjhIIWc8nk
#H202003;202003.jpg;Elkarrekintza Hedatuak Baina Ezezagunak: Onddo Mikorrizikoak eta Landareak;Isabel Salcedo Larralde;isalcedo.jpg;
#H202002;202002.jpg;Klima Aldaketa: Zientziaren Ikuspuntua;Elisa Sainz de Murieta Zugadi;esainzdemurieta.jpg;KRVXSpJEDF8
#H202001;202001.jpg;Animalia Kulturalak. Nola Bultzatzen Duen Kulturak Giza Bilakaera;Juan Ignacio Pérez Iglesias;jiperez.jpg;fUeRDqiCHOk
#H201912;201912.jpg;Ebidentzian Oinarritutako Medikuntza (EOO), Osasungintza Ulertzeko Beste Modu Bat;Ina Idarreta eta Idoia Alkorta;iidarreta_ialkorta.jpg;tq9nmnICbE0
#H201911;201911.jpg;Begiak Garunari Begira;Ane Murueta-Goiena Lrrañaga;amurueta.jpg;5jlHL4L9xFA
#H201910;201910.jpg;De Luz y Color;Sebastian Cardenete García;scardenete.jpg;
#H201909;201909.jpg;Klimaren Aldaketa Uraren Ikuspegitik: Nondik Gatoz? Norantz Goaz?;Iñaki Antiguedad Auzmendi;iantiguedad.jpg;YoO5tmfeso4
#H201907;201907.jpg;La Sublime Utilidad de los Inútiles Neutrinos;Juan José Gómez Cadenas;jjgomez.jpg;N6LCg1mfTnU
#H201906;201906.jpg;Lurzorua: Oinazpiko Unibertso Ezezaguna;Nahia Gartzia Bengoetxa;ngartzia.jpg;yhCTzM3c_Vw
#H201905;201905.jpg;Astronomía. Estrellas y Estrellados;Fernando Jauregi Sora;fjauregi.jpg;KB3r0Eh96OA
#H201904;201904.jpg;Las Gaviotas de Ondárroa ¡Mucho más que Simples Pájaros!;Juan Arizaga Martínez;jarizaga.jpg;kFIS3Vu7QPQ
#H201903;201903.jpg;Futbolaren Zientziaren Golak;Jon Larruskain Zabala;jlarruskain.jpg;ozrLj-pzPlU
#H201902;201902.jpg;Estresatuta Sentitzen Garenean  Zergatik Gaixotzen Gara Errazago?;Eneritz Gómez Lázaro;egomez.jpg;3iG3g5QpSNI
#H201901;201901.jpg;El Ecosistema Marino Persiguiendo el Cambio Climático;Guillem Chust;gchust.jpg;tqNVWtymQdM
#H201812;201812.jpg;Gorputzaren Mapa Osatzen: Sistema Miofasciala;Nagore Basterra Berridi;nbasterra.jpg;IGZ-rOuoWI8
#H201811;201811.jpg;La Transexualidad desde la Ciencia;Sarai Montes Aguilar;smontes.jpg;v08K1kNif7Q
#H201810_2;201810_2.jpg;Kautxoaren Aplikazioa Automobilgintzan Garbigailuetan eta Beste Sektoreetan. Cikautxoaren Esperientzia;Amaia Aulestia eta Jose Santos;aaulestiajsantos.jpg;72y7yTiD4Vk
#H201810;201810.jpg;Biotecnologías Modernas y Agricultura: Luces y Sombras;Mertxe De Renobales Scheifler;mderenobales.jpg;m1qw6Isx7Xc
#H201806;201806.jpg;ITER Poiektua eta Fusio Nuklearra Etorkizuneko Energia?;Goretti Sevillano Berasategi;gsevillano.jpg;QC6T2Faicc8
#H201805_2;201805_2.jpg;Euskal Herriko Ibaien Kontserbazioa;Arturo Elosegi Irrutia;aelosegi.jpg;wA0vqqV-XME
#H201805;201805.jpg;Sorkuntza eta Zientzia Sukalderako Bidelagunak;Daniel Lasa Etxegoien;dlasa.jpg;F97nLfj4rU0
#H201804;201804.jpg;Buruko eta Lepoko Minbizia. Aurrerapenak Laringeko Minbizian.;Juan Ramón Iriondo Bedialauneta;jririondo.jpg;8gdpfIi7t8E
#H201803;201803.jpg;Gliomen Modelizazioa: Erreakzio-Difusio Ekuazioa;Elisabete Alberdi Zelaia;ealberdi.jpg;MgcuYW9HnWQ
#H201802;201802.jpg;Nola Gidatzen Dira Espaziontziak?;Ander Martínez de Albeniz Ausin;amartinez.jpg;v3KukyE8heY
#H201801;201801.jpg;Inteligencia Artificial: Progreso o Amenaza;Jose Antonio Lozano Alonso;jalozano.jpg;F1WKqmlZKfs
#H201712;201712.jpg;Ahots Teknika: Gure Gorputza Ezagutzen;Leire Gómez Aristondo;lgomez.jpg;sy_rnHh60bs
#H201711;201711.jpg;Grafenoa: Atomo Bateko Lodiera Duen Materiala;Amaia Zurutuza Elorza;azurutuza.jpg;JBM5-t6p5rU
#H201710_2;201710_2.jpg;CERN una Ventana al Universo Invisible;Pilar Hernández Gamazo; phernandez.jpg;INIjudGsFWM
#H201710;201710.jpg;Prevenir y Tratar la Enfermedad de Alzheimer: Una Visión Moderna;Pablo Martínez-Lage;pmartinezlage.jpg;rcCP94P4dsM
#H201706;201706.jpg;Aspectos Sorprendentes del Sistema Solar;Esteban Esteban Peñalba;eesteban.jpg;3rDRhYq47NU
#H201705_2;201705_2.jpg;Genomaren Sekretuak Argitu Nahirik;Ana Mari Zubiaga Elordieta;amzubiaga.jpg;Rw0eutv83jg
#H201705_1;201705_1.jpg;Guerra en Siria e Irak: El Rol de la Ciancia y la Tecnología en las Guerras;Aitor Zabalgogeazkoa Llodio;azabalgogeazkoa.jpg;VtDUqNL1XsE
#H201704;201704.jpg;Kantabriar Mendikateko Hartzak;Fernando Garitagoitia Pradera;fgaritagoitia.jpg;7efMcVuUp20
#H201703;201703.jpg;Mujeres y Ciencia ¿Una Ecuación imposible?;Marta Macho Stadler;mmacho.jpg;SoTct9s80-g
